Time,Cells_avg,Cells_std,Biomass_avg(g/L),Biomass_std(g/L),Glucose_avg,Glucose_std,Gln_avg,Gln_std,Lac_avg,Lac_std,NH4_avg,NH4_std
0,100000,0,0.0264,0,16.46666667,0.115470054,4.89,0.055677644,0.8,1.35974E-16,1.073333333,0.02081666
30,313333.3333,10408.33,0.08272,0.002747799,13.3,0.264575131,3.74,0.164620776,5.866666667,0.057735027,1.91,0.017320508
42,439666.6667,100957.0866,0.116072,0.026652671,11.56666667,0.057735027,3.333333333,0.005773503,9.233333333,0.057735027,2.32,0.017320508
48,654666.6667,52538.8745,0.172832,0.013870263,10.33333333,0.115470054,3.006666667,0.037859389,11.33333333,0.057735027,2.54,0.026457513
54,853333.3333,59651.76723,0.22528,0.015748067,9.1,0,2.716666667,0.04163332,13.6,0.173205081,2.783333333,0.040414519
66,1126666.667,87368.94948,0.29744,0.023065403,6.8,0.1,2.013333333,0.070237692,17.23333333,0.152752523,3.326666667,0.025166115
72,1258333.333,52041.64999,0.3322,0.013738996,6.1,1.08779E-15,1.706666667,0.025166115,18.26666667,0.057735027,3.583333333,0.005773503
78,1638333.333,223960.562,0.43252,0.059125588,5.466666667,0.057735027,1.373333333,0.040414519,19.1,0.2,3.823333333,0.032145503
99,1675000,108972.4736,0.4422,0.028768733,4.533333333,0.115470054,0.693333333,0.08326664,19.8,0,4.476666667,0.023094011
