,fluxes
3HLYTCL,0.0
VALTA,0.0
CYSTS,0.0
ACOAD8m,0.0
5HOXINDACTOXm,0.0
ACACT1m,0.0
PCLAD,0.0
LTDCL,0.0
GHMT3m,0.0
PPCOACm,0.0
MAOX,0.0
GluForTx,0.0
PROD2,0.0
MHISOR,0.0
3SALATAi,0.0
KYN,0.0
ADMDC,0.0
ASNNm,10.518489854558485
HGNTOR,0.0
DMGDHm,0.0
41R2A1H12BOOX,0.0
PRO1x,0.0
METS,0.0
OIVD2m,0.0
TYRDOPO3,0.0
MACACI,0.0
HACD1m,0.0
2AMADPTm,0.0
BBHOX,0.0
NRPPHRSULT,0.0
MCCCrm,0.0
MAOLNOR,0.0
GDHm,16.750252068658796
AACTOOR,0.0
IDHPOXOX3,0.0
TRYPTAOX,0.0
TMABADH,0.0
MMCDm,0.0
MMSAD1m,0.0
GTHOm,0.0
ACACT10m,0.0
3AIBTm,0.0
SALMCOM,0.0
FALDH,0.0
HKYNH,0.0
MELATN23DOX,0.0
MELATNOX,0.0
TYMSULT,0.0
SACCD3m,0.0
MCPST,0.0
GCC2bim,0.0
OIVD1m,0.0
ACSRTNMT,0.0
IDHPOXOX4,0.0
TRPHYDRO2,0.0
41R1H2MAE12BOOX,0.0
TYRTA,0.0
NOS2,0.0
AGTim,0.0
GHMT3,0.0
TYRTAim,0.0
IMACTD,0.0
CYANSTm,0.0
IDHPOXOXb,0.0
HIBDm,0.0
PSERT,0.0
OCOAT1m,0.0
BHMT,0.0
KYNAKGAT,0.0
MACOXO,0.0
FUMAC,0.0
34DHXMANDACOX_NADP,0.0
HISDC,0.0
5HOXINDACTO2OX,0.0
4HGLSDm,0.0
3MOXTYROX,0.0
ACOAD9m,0.0
LEUTAm,0.0
TYRDOPO,0.0
ALDD19xr,0.0
5HXKYNOXDA,0.0
R01465m,0.0
3HKYNAKGATm,0.0
ASPO1,0.0
THRA,0.0
FKYNH,0.0
3HBCOAHLm,0.0
SERR,0.0
GLYCLm,-10.518489854558485
KYNAKGATm,0.0
ACACT1r,0.0
AASAD3,0.0
TRPOX,0.0
AASAD3m,0.0
PHACCOAGLYACm,0.0
METOX,0.0
PHEOX,0.0
HOLYSK,0.0
ASNN,13.397635902131887
GLUt2m,-57.68234966402903
FTHFDH,0.0
FTHFLi,0.0
2AMACHYD,0.0
HMGLm,0.0
DHPR,0.0
IZPN,0.0
FTCD,0.0
MTHFC,0.0
CHOLK,9.375837638019286
PSSA1,3.1643451873249537
PSFLIPm,2.379118805776485
PSDm,2.379118805776485
PE_CHOtm,-2.379118805776485
GPDDA1,0.0
MI3PS,0.8672649808010968
MI3PP,0.8672649808010968
PC_syn,9.375837638019286
PAIL_syn,0.8672649808010968
PG_syn,0.07031879254332733
SM_syn,1.0196223248845748
Cholesterol_syn,4.149595061686255
ACOAH,0.0
G3PD1ir,10.383740203906996
BETALDHxm,0.0
SARDHm,0.0
MAN6PI,0.0
PMANM,0.0
MAN1PT2,0.0
MAN1PT,0.0
GF6PTA,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
UAGDP,0.0
UAG2EMA,0.0
AMANK,0.0
ACNAM9PL,0.0
ACNAMPH,0.0
ACNMCT,0.0
GMAND,0.0
UAG4Ei,0.0
CACNAO2,0.0
CACNAO,0.0
r1437,0.0
r1078,0.0
LEUt5m,0.0
r1435,10.518489854558485
thr_mt,0.0
PHEt2m,0.0
VALt5m,0.0
CHOLtu,7.231114775578907
CHLtm,0.0
HCO3Em,0.0
HCO3_NAt,11.626672573395082
H2Otm,-1000.0
CO2tm,-309.7460532446577
CO2t,-401.9422698151891
NAt,-962.8137469539791
ACt2m,0.0
ACt2r,0.0
HYXNt,12.80701915013701
SO4t4_2,0.0
ASNtm,10.518489854558485
ASNt4,33.88286377352638
CYStec,3.964123492824843
GLNtm,0.0
GLNt4,42.144553320922796
LYStm,0.0
LYSt4,18.495383456494835
PROtm,47.16385980947055
PROt2r,57.75888742017678
TYRt,6.262421942037857
METt4,5.0376271846137
LEUt4,20.38718123494449
SERt4,31.820630751094996
HISt4,4.590725782639157
THRt4,12.184377425372135
PHEt4,8.908905679146736
ARGt4,11.781504191139092
ARGtm,0.0
ILEtmi,0.0
ILEt4,10.504930851121017
VALt4,15.393271943830813
TRPt,1.2010648612921724
ASPt6,0.0
ALAtmi,0.0
ALAt2r,-29.865484794852694
GLUt6,0.0
GLYtm,-21.03697970911697
GLYt4,0.0
CITtam,0.0
CITtbm,0.0
CITt4_2,0.0
FUMtm,224.48988867239467
SUCCtm,-57.987422649045925
SUCCt4_2,-57.987422649045925
MALtm,-166.50246602334875
UREAt,0.0
COAtim,276.64825371305255
PIt9,426.0149820419149
PPItm,0.0
ACCOAt2m,276.64825371305255
EX_glc__D_e,-530.4928268062868
EX_h_e,795.8056396254252
EX_lac__L_e,669.0276206404108
EX_pi_e,-426.0149820419149
EX_o2_e,-188.40251547019082
EX_nh4_e,15.104701941396941
EX_h2o_e,926.9643091919304
EX_pyr_e,3.0313847658055693
EX_chol_e,-7.231114775578907
EX_hco3_e,-11.626672573395082
EX_na1_e,0.0
EX_co2_e,401.9422698151891
EX_ac_e,0.0
EX_hxan_e,-12.80701915013701
EX_so4_e,-0.0
EX_asn__L_e,-33.88286377352638
EX_cys__L_e,-3.964123492824843
EX_gln__L_e,-42.144553320922796
EX_lys__L_e,-18.495383456494835
EX_pro__L_e,-57.75888742017678
EX_tyr__L_e,-6.262421942037857
EX_met__L_e,-5.0376271846137
EX_leu__L_e,-20.38718123494449
EX_ser__L_e,-31.820630751094996
EX_his__L_e,-4.590725782639157
EX_thr__L_e,-12.184377425372135
EX_phe__L_e,-8.908905679146736
EX_arg__L_e,-11.781504191139092
EX_ile__L_e,-10.504930851121017
EX_val__L_e,-15.393271943830813
EX_trp__L_e,-1.2010648612921724
EX_asp__L_e,-0.0
EX_k_e,-0.0
EX_ala__L_e,29.865484794852694
EX_glu__L_e,-0.0
EX_gly_e,-0.0
EX_cit_e,0.0
EX_succ_e,57.987422649045925
EX_urea_e,-0.0
BIOMASS,47.71247754505
